city_rus,region_rus,city_eng,region_eng,region_ISO_code
Шадринск,Курганская область ,Shadrinsk,Kurgan Oblast,RU-KGN
Шали,Чеченская Республика ,Shali,Chechen Republic,RU-CE
Шарыпово,Красноярский край ,Sharypovo,Krasnoyarsk Krai,RU-KYA
Шарья,Костромская область ,Sharya,Kostroma Oblast,RU-KOS
Шатура,Московская область ,Shatura,Moscow Oblast,RU-MOS
Шахты,Ростовская область ,Shakhty,Rostov Oblast,RU-ROS
Шахунья,Нижегородская область ,Shakhunya,Nizhny Novgorod Oblast,RU-NIZ
Шацк,Рязанская область ,Shatsk,Ryazan Oblast,RU-RYA
Шебекино,Белгородская область ,Shebekino,Belgorod Oblast,RU-BEL
Шелехов,Иркутская область ,Shelekhov,Irkutsk Oblast,RU-IRK
Шенкурск,Архангельская область ,Shenkursk,Arkhangelsk Oblast,RU-ARK
Шилка,Забайкальский край ,Shilka,Zabaykalsky Krai,RU-ZAB
Шимановск,Амурская область ,Shimanovsk,Amur Oblast,RU-AMU
Шиханы,Саратовская область ,Shikhany,Saratov Oblast,RU-SAR
Шлиссельбург,Ленинградская область ,Shlisselburg,Leningrad Oblast,RU-LEN
Шумерля,Чувашская Республика ,Shumerlya,Chuvash Republic,RU-CU
Шумиха,Курганская область ,Shumikha,Kurgan Oblast,RU-KGN
Шуя,Ивановская область ,Shuya,Ivanovo Oblast,RU-IVA
ЩЩёкино,Тульская область ,Shchyokino,Tula Oblast,RU-TUL
Щёлкино,Республика Крым ,Shchelkino,Republic of Crimea,UA-43
Щёлково,Московская область ,Shchyolkovo,Moscow Oblast,RU-MOS
Щигры,Курская область ,Shchigry,Kursk Oblast,RU-KRS
Щучье,Курганская область ,Shchuchye,Kurgan Oblast,RU-KGN
ЭЭлектрогорск,Московская область ,Elektrogorsk,Moscow Oblast,RU-MOS
Электросталь,Московская область ,Elektrostal,Moscow Oblast,RU-MOS
Электроугли,Московская область ,Elektrougli,Moscow Oblast,RU-MOS
Элиста,Республика Калмыкия ,Elista,Republic of Kalmykia,RU-KL
Энгельс,Саратовская область ,Engels,Saratov Oblast,RU-SAR
Эртиль,Воронежская область ,Ertil,Voronezh Oblast,RU-VOR
Югорск,Ханты-Мансийский автономный округ - Югра ,Yugorsk,Khanty-Mansi Autonomous Okrug,RU-KHM
Южа,Ивановская область ,Yuzha,Ivanovo Oblast,RU-IVA
Южно-Сахалинск,Сахалинская область ,Yuzhno-Sakhalinsk,Sakhalin Oblast,RU-SAK
Южно-Сухокумск,Республика Дагестан ,Yuzhno-Sukhokumsk,Republic of Dagestan,RU-DA
Южноуральск,Челябинская область ,Yuzhnouralsk,Chelyabinsk Oblast,RU-CHE
Юрга,Кемеровская область ,Yurga,Kemerovo Oblast,RU-KEM
Юрьев-Польский,Владимирская область ,Yuryev-Polsky,Vladimir Oblast,RU-VLA
Юрьевец,Ивановская область ,Yuryevets,Ivanovo Oblast,RU-IVA
Юрюзань,Челябинская область ,Yuryuzan,Chelyabinsk Oblast,RU-CHE
Юхнов,Калужская область ,Yukhnov,Kaluga Oblast,RU-KLU
Ядрин,Чувашская Республика ,Yadrin,Chuvash Republic,RU-CU
Якутск,Республика Саха (Якутия) ,Yakutsk,Sakha Republic,RU-SA
Ялта,Республика Крым ,Yalta,Republic of Crimea,UA-43
Ялуторовск,Тюменская область ,Yalutorovsk,Tyumen Oblast,RU-TYU
Янаул,Республика Башкортостан ,Yanaul,Republic of Bashkortostan,RU-BA
Яранск,Кировская область ,Yaransk,Kirov Oblast,RU-KIR
Яровое,Алтайский край ,Yarovoye,Altai Krai,RU-ALT
Ярославль,Ярославская область ,Yaroslavl,Yaroslavl Oblast,RU-YAR
Ярцево,Смоленская область ,Yartsevo,Smolensk Oblast,RU-SMO
Ясногорск,Тульская область ,Yasnogorsk,Tula Oblast,RU-TUL
Ясный,Оренбургская область ,Yasny,Orenburg Oblast,RU-ORE
Яхрома,Московская область ,Yakhroma,Moscow Oblast,RU-MOS
